Ticker,returnOnAssets,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,currentRatio,marketCap,Label
BEBS,-0.03274,-0.38812,-0.055910002,-0.122,,0.747,224999997440.0,Tidak Memenuhi
BATR,0.075,0.27656,0.1292,0.632,2.046,4.224,335779135488.0,Tidak Memenuhi
ADMG,-0.0155299995,0.0077100005,0.00902,0.291,,1.532,567820222464.0,Tidak Memenuhi
LTLS,0.03492,0.16290002,0.04493,0.172,-0.157,1.174,1281602617344.0,Tidak Memenuhi
DGWG,0.0657,0.28737,0.059019998,0.123,-0.499,1.096,2447058927616.0,Tidak Memenuhi
ESIP,0.0086199995,0.08643,0.02081,-0.12,0.536,15.946,122094919680.0,Tidak Memenuhi
SAMF,0.08127,0.23105,0.09399,-0.116,-0.309,1.635,3218500222976.0,Tidak Memenuhi
FWCT,0.110740006,0.15117,0.09404001,0.425,,1.354,284635004928.0,Tidak Memenuhi
NPGF,0.0269,0.24983999,0.08764,0.047,-0.826,2.968,187933671424.0,Tidak Memenuhi
TBMS,0.055689998,0.022179998,0.01824,0.096,0.182,1.641,1028551999488.0,Tidak Memenuhi
KAYU,,,,,,,11969999872.0,Tidak Memenuhi
SBMA,0.04651,0.50448,0.19267,0.089,0.445,1.58,119960485888.0,Tidak Memenuhi
PTMR,,0.2809,0.00931,0.139,,2.832,713217998848.0,Tidak Memenuhi
SMCB,0.03929,0.23131001,0.13655,-0.054,1.445,0.971,6990021001216.0,Tidak Memenuhi
PDPP,0.06125,0.18417,0.15626,0.459,2.775,1.489,1328622206976.0,Tidak Memenuhi
BMSR,-0.02071,0.042179998,0.01826,0.141,,1.629,359352008704.0,Tidak Memenuhi
UNIC,0.045840003,0.12597,0.05427,0.39,0.398,6.962,3411649232896.0,Tidak Memenuhi
OBMD,0.12533,0.88388,0.42578,0.042,0.58,13.575,201498247168.0,Tidak Memenuhi
SQMI,-0.07648,-0.40512002,-21.265892,2.369,,0.071,668116451328.0,Tidak Memenuhi
PURE,,,,,,,70134177792.0,Tidak Memenuhi
INCI,0.03016,0.20962,0.04987,-0.055,-0.628,5.352,128747110400.0,Tidak Memenuhi
TIRT,-0.15800999,0.0,-300.0992,,,0.493,44518088704.0,Tidak Memenuhi
SWAT,-0.011820001,0.06322,-0.19718,-0.243,,7.123,48307200000.0,Tidak Memenuhi
INCF,0.03658,0.19299999,0.1242,-0.115,0.589,0.967,69041782784.0,Tidak Memenuhi
EPAC,-0.0070599997,0.11722,-0.00034000003,0.238,,0.642,72674795520.0,Tidak Memenuhi
